Name,Proposed English Translation,Notes
EK-Berendeevo Tsarstvo,Possibly: Berendey's Kingdom,Slavic folklore reference
EK-Dolche Vita,Possibly: Dolce Vita,Italian loanword (Sweet Life)
EK-Lesnaia Feia,Possibly: Forest Fairy,
EK-Lubasha,Possibly: Lubasha,Russian female name (diminutive of Lyubov)
EK-Marmeladnye Romashki,Possibly: Marmalade Daisies,
EK-Nautilus,Possibly: Nautilus,Same in English
EK-Rok-n-Roll,Possibly: Rock-n-Roll,
EK-Rozovyi Dalmatinets,Possibly: Pink Dalmatian,
EK-Ryzhii Kot,Possibly: Ginger Cat,
EK-Shaman,Possibly: Shaman,Same in English
EK-Strasburg,Possibly: Strasbourg,City name
EK-Tatiana,Possibly: Tatiana,Russian female name
EK-Vesennii Grom,Possibly: Spring Thunder,
EK-Viktoria,Possibly: Victoria,
EK-Zimniaia Vishnia,Possibly: Winter Cherry,
EK-Zimnii Son,Possibly: Winter Dream,
LE-Aisedora,Possibly: Isadora,Name (likely Isadora Duncan reference)
LE-Aisha,Possibly: Aisha,Arabic female name
LE-Blondi,Possibly: Blondie,
LE-Donna,Possibly: Donna,Italian (Lady)
LE-Eseniia,Possibly: Yesenia,Female name
LE-Esmeralda,Possibly: Esmeralda,Spanish name (Emerald)
LE-Fandango,Possibly: Fandango,Spanish dance
LE-Flamenco,Possibly: Flamenco,Spanish dance
LE-Ivetta,Possibly: Yvette,French female name
LE-Izolda,Possibly: Isolde,Name from Tristan and Isolde
LE-Kupava,Possibly: Kupava,Slavic water nymph/globeflower
LE-Lady Winter,Possibly: Lady Winter,Already English
LE-Las Vegas,Possibly: Las Vegas,City name
LE-Ledi v Belom,Possibly: Lady in White,
LE-Lel',Possibly: Lel,Slavic god of love
LE-Luntik,Possibly: Luntik,Russian cartoon character
LE-Maia Plisetskaia,Possibly: Maya Plisetskaya,Famous Russian ballerina
LE-Mal'vina,Possibly: Malvina,Female name (from Pinocchio)
LE-Marilyn,Possibly: Marilyn,Name (likely Monroe reference)
LE-Nastia,Possibly: Nastia,Russian female name (diminutive of Anastasia)
LE-Oskar,Possibly: Oscar,
LE-Pyshechka,Possibly: Little Sweetie,Affectionate term (literally: little donut)
LE-Sashen'ka,Possibly: Sashenka,Russian name (diminutive of Alexander/Alexandra)
LE-Vanessa,Possibly: Vanessa,
LE-Vega,Possibly: Vega,Star name
LE-Violetta,Possibly: Violetta,
LE-Vladimir,Possibly: Vladimir,Russian male name
RS-Annabel',Possibly: Annabel,
RS-Baron Miunkhauzen,Possibly: Baron Munchausen,Literary character
RS-Belyi Shelk,Possibly: White Silk,
RS-Bogatyr',Possibly: Bogatyr,Slavic knight/hero
RS-Buket Romashek,Possibly: Bouquet of Daisies,
RS-Chernaia Magiia,Possibly: Black Magic,
RS-Dolores,Possibly: Dolores,Spanish female name
RS-Don Kikhot,Possibly: Don Quixote,
RS-Egiptianka,Possibly: Egyptian Woman,
RS-Garmoniia,Possibly: Harmony,
RS-Iaponskii Uzhin,Possibly: Japanese Dinner,
RS-Karnaval,Possibly: Carnival,
RS-Korsar,Possibly: Corsair,
RS-Kosmonavt,Possibly: Cosmonaut,
RS-Lesnaia Melodiia,Possibly: Forest Melody,
RS-Lesnoe Kruzhevo,Possibly: Forest Lace,
RS-Lolita,Possibly: Lolita,
RS-Maestro,Possibly: Maestro,
RS-Manuela,Possibly: Manuela,Spanish female name
RS-Margaret,Possibly: Margaret,
RS-Marsela,Possibly: Marcella,
RS-Ofeliia,Possibly: Ophelia,
RS-Operetta,Possibly: Operetta,
RS-Otello,Possibly: Othello,
RS-Passiia,Possibly: Passion,
RS-Pifagor,Possibly: Pythagoras,
RS-Povelitel'nitsa,Possibly: Empress,Female ruler
RS-Ramzes,Possibly: Ramses,Egyptian pharaoh
RS-Rosinka,Possibly: Dewdrop,
RS-Sirena,Possibly: Siren,
RS-Sirenevye Oblaka,Possibly: Lilac Clouds,
RS-Taina Druidov,Possibly: Secret of the Druids,
RS-Tropikana,Possibly: Tropicana,
RS-Tsypa,Possibly: Chick,Baby bird/affectionate term
RS-Vladyka,Possibly: Sovereign,
RS-Vzdornaia Krasotka,Possibly: Feisty Beauty,
RS-Zhar-Ptitsa,Possibly: Firebird,Slavic mythological bird
RS-Zimnii Tsvetok,Possibly: Winter Flower,
RS-Zolotaia Roskosh',Possibly: Golden Luxury,
RS-Zolotoi Drakon,Possibly: Golden Dragon,
RS-Zorro,Possibly: Zorro,
